"Energy Surge
",,,,"Energy Surge
"
"Utilitarian
",Mechanics 9,"You’ve used your batt so much you’ve found out how to overcharge it, but this takes a bit of a toll on your body, so you can only do it so often. Twice per day you can use an action to completely fill your batt with energy, additionally your next action (up to a maximum of 80 energy is free).
","3
","Utilitarian
"
"Combat Machinist
",Mechanics 8,"You can use an action to restore additional SHADE. Perform a Mechanics roll each time you do this.
","2
","Combat Machinist
"
"Builder
",Mechanics 7,"Your FRIEND can attack as a simultaneous action.
","2
","Builder
"
"Throwable Maker
",Mechanics 6,"It takes half as long to build a FRIEND, and you can have 2 deployed at once.
","1
","Throwable Maker
"
"Robot’s Friend
",Mechanics 5,"As long as you have MESH, you get 1 free throwable weapon per encounter, you cannot save it, it must be thrown during the encounter or it is lost.
","2
","Robot’s Friend
"
"Subroutinier
",Mechanics 4,"Any healing done to you is also done to your FRIEND, also, healing your FRIEND costs you 0 MESH.
","1
","Subroutinier
"
"Mesh Master
",Intelligence 9,"You may choose one subroutine that you can use without spending any MESH. Maximum cost of 20.
","3
","Mesh Master
"
"Ingenious
",Intelligence 8,"You’ve gotten very very good at doing more with less. MESH is versatile, and you’re crafty. You can ignore the minimum required MESH for subroutines.
","2
","Ingenious
"
"Helper
",Intelligence 7,"Nine times out of ten, you’re the smartest person in the room. Maybe you’re lucky, maybe you’re just really smart. You can use your ingenuity ability twice more per day.
","3
","Helper
"
"Trader
",Intelligence 5,"You aren’t just creative with your own problems, you’re also able to apply your mind to the problems those around you have. You can use your ingenuity ability to help other people’s rolls.
","2
","Trader
"
"Brawler
",Intelligence 4,"Your deep understanding of the galactic markets allows you to barter better, and find the best buyers and sellers for products. This allows you to have better buy and sell prices by 5%.
","1
","Brawler
"
"Heavy Weapons Person
",Strength 9,"You’re a seasoned fighter, and at this point, you’ve laid out more people than you can count. Whenever you make a melee attack against a target without an active SHADE you can attempt to knock them out on the spot. Roll a strength roll, and their Willpower roll must beat that, or else be immediately knocked out.
","4
","Heavy Weapons Person
"
"Bruiser
",Strength 8,"With any heavy weapons, the weapon’s DEFAULT damage bonus is doubled. (for example, the sledge has a damage bonus of +3, with this perk it would be +6).
","3
","Bruiser
"
"Something
",Strength 7,"When you hit, you hit hard. It doesn’t matter what you’re hitting either, it always hurts. You gain +3 to all melee attacks.
","2
","Something
"
"***Rage
",Strength 6,"
","
","***Rage
"
"Deep Pockets/Strong Back
",Strength 5,"You can rage, this increases your damage by +3, but you cannot heal, or run away from any enemies, only stay the same distance or move towards them.
","2
","Deep Pockets/Strong Back
"
"Light Weapons Expert
",Strength 4,"People might call you a hoarder, or a pack mule, but in reality, you’re probably both. You’re able to carry a lot more than everyone else without slowing down, and there’s a good chance that others choose to unload their heavier luggage onto you. Your carry weight is doubled.
","1
","Light Weapons Expert
"
"Hoplophile
",Dexterity 9,"Light melee weapons deal +5 extra damage.
","3
","Hoplophile
"
"No Failure
",Dexterity 8,"If guns were people, you’d get married to one. You automatically get +2 damage with all guns, and you can craft any existing gun without diagrams.
","3
","No Failure
"
"Sharpshooter
",Dexterity 7,"Every turn, if your target is unobscured, and in the “Ideal range” you get one free hit, it does not take an action, and it is guaranteed to hit.
","3
","Sharpshooter
"
